Drug,Gene,ICD,gene_ICD_ref,gene_ICD_TRUE_FALSE,gene_ICD_sentence,drug_gene_ref,drug_gene_TRUE_FALSE,drug_gene_sentence,Observations,keep_new
PEXACERFONT,CRHR1,PSORIASIS,"Medline_22350180,Medline_22360979,Medline_19560286",TRUE,,"Medline_27362504,Medline_28807676,Pmcoa_4928795,Medline_27595147,Medline_29064909,Medline_27109623,Pmcoa_3671664,Pmcoa_4462850,Pmcoa_3765344",TRUE,"On the other hand, the CRF1 antagonists, CP-316,311, showed no effect against depression in a 6-week randomized, placebo-controlled trial [18] and pexacerfont did not demonstrate efficacy compared to placebo for the treatment of generalized anxiety disorders in a multi-center clinical trial [19]. ",,keep
DELCASERTIB,DYT10,PSORIASIS,"Patent_EP0805158A3,Patent_EP0805158B1,Patent_EP0657458B1,Patent_EP1449529B1,Patent_EP0805158A2,Patent_US20050287132,Patent_EP0657458A1,Pmcoa_2678983",FALSE,"While IFN-gamma [20], IRF-1 [19,21] and CBP [22,23] were already associated with psoriasis in independent studies, there is no direct evidence in the literature regarding involvement of PKC-delta and CaMKII in the disease. On the other hand, some studies indicate that other PKC isozimes [24] and calcium signaling in general [25] may play role in the pathogenesis of psoriasis. ","Patent_EP2194124A1,Patent_EP1934338A2,Patent_US20110098224,Patent_US20070141040,Patent_WO2007035782A2,Pmcoa_4166028",-,,,keep
SORBINIL,DYT10,PSORIASIS,"Patent_EP0805158A3,Patent_EP0805158B1,Patent_EP0657458B1,Patent_EP1449529B1,Patent_EP0805158A2,Patent_US20050287132,Patent_EP0657458A1,Pmcoa_2678983",FALSE,,"Patent_US20040047919,Patent_US20060293265,Patent_US20060210651,Patent_WO2003105864A1",-,,,new
DULAGLUTIDE,GLP1R,PSORIASIS,"Medline_22160246,Medline_21744074",TRUE,"We observed an improvement in psoriasis severity in a patient within days of starting treatment with an incretin-mimetic, glucagon-like peptide-1 (GLP-1) receptor agonist. ","Medline_26009229,Medline_28283565,Patent_EP3329930A1,Medline_25029955,Medline_26656966,Medline_24742660,Medline_29483060,Medline_29377522,Pmcoa_5008205,Pmcoa_4705511,Patent_US20170275370,Pmcoa_6021307,Pmcoa_4113177,Patent_WO2017112824A2,Pmcoa_5013324,Pmcoa_4934019,Pmcoa_4509428,Medline_26059826,Medline_25860029",TRUE,"To assess the risk of acute pancreatitis during treatment with glucagon-like peptide 1 receptor agonist dulaglutide, placebo, and active comparators across phase 2/3 dulaglutide trials.",,keep
SEMAGLUTIDE,GLP1R,PSORIASIS,"Medline_22160246,Medline_21744074",TRUE,,"Medline_29574633,Medline_29439603,Pmcoa_5483425,Pmcoa_5870815",TRUE,The GLP-1R agonist semaglutide has recently been registered to treat type 2 diabetes.,,new
HQL 79,HPGDS,PSORIASIS,"Medline_23489263,Patent_US20150038499,Patent_US20150307914",FALSE,To perform GSTT1 geno- and phenotyping in psoriasis patients treated with FAE to find out whether the responder status and/or occurrence of side-effects are associated with allelic variants and enzymatic activity of GSTT1.,"Patent_US9750749,Patent_US20100075990,Patent_US20160199386,Medline_21294159,Medline_16624958,Medline_18492946,Patent_US20130079375,Patent_US9126973,Patent_US8450326,Patent_EP2350059A2,Medline_22068479,Patent_EP2350059B1,Patent_US20120015001,Patent_US9320723,Patent_WO2004016223A2,Patent_US20150099748,Patent_WO2010033977A2,Pmcoa_4486370,Pmcoa_3050850,Pmcoa_4292445,Pmcoa_3248891,Patent_US8536185,Pmcoa_5515835,Medline_16547010",-,,,keep
S-METHYLGLUTATHIONE,HPGDS,PSORIASIS,"Medline_23489263,Patent_US20150038499,Patent_US20150307914",FALSE,,"Patent_US20150038499,Medline_11305778,Patent_EP3027767A1,Patent_US20150307914,Patent_WO2015017762A1",-,,,new
PYRROLE CARBOXYLIC ACID,HPGDS,PSORIASIS,"Medline_23489263,Patent_US20150038499,Patent_US20150307914",FALSE,,"Medline_25628728,Pmcoa_4306705",-,,,new
ACETYLSEROTONIN,HPGDS,PSORIASIS,"Medline_23489263,Patent_US20150038499,Patent_US20150307914",FALSE,,"Patent_US20050089981,Patent_EP1373519B1,Patent_EP1373519A2,Patent_US7601889,Patent_WO2002077213A2",-,,,new
"1-AMINO-4-{[4-({6-CHLORO-4-[(3-SULFOPHENYL)IMINO]-1,2,3,4-TETRAHYDRO-1,3,5-TRIAZIN-2-YLIDENE}AMINO)-3-SULFOPHENYL]AMINO}-9,10-DIOXO-9,10-DIHYDROANTHRACENE-2-SULFONIC ACID",HPGDS,PSORIASIS,"Medline_23489263,Patent_US20150038499,Patent_US20150307914",FALSE,,"Medline_8100477,Medline_8481559",-,,,new
LINSITINIB,IGF1R,PSORIASIS,"Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1",TRUE,The findings indicate that IGF-I receptor stimulation is a rate-limiting step in psoriatic epidermal hyperplasia and that IGF-I receptor targeting by cutaneous administration of antisense oligonucleotides forms the basis of a potential new psoriasis therapy.,"Patent_US20130158264,Pmcoa_5718000,Pmcoa_4453276,Pmcoa_5302955,Pmcoa_4747355,Medline_29262576,Pmcoa_3388245,Pmcoa_4946092,Pmcoa_5732742,Pmcoa_5662764,Pmcoa_5834254,Pmcoa_5031330,Pmcoa_5226581,Pmcoa_3356071,Pmcoa_4164328,Medline_22170383,Patent_WO2016064716A1,Medline_26041671,Patent_US20110275644,Patent_US20110217309,Pmcoa_3717308,Pmcoa_3853032,Medline_26429980,Medline_26561558,Medline_29251331,Medline_28440057,Medline_24687941,Medline_25483727,Medline_25573956,Medline_24759003,Patent_EP2350317A2,Medline_27286459,Medline_29207959,Medline_24161672,Patent_US20100240665,Medline_26956669,Patent_EP2780469A1,Patent_EP3253733A1,Patent_US20120064072,Patent_US20150269307,Patent_US20160144027,Patent_US20140154264,Patent_US20170326205,Patent_US8163509,Patent_US20170258495,Patent_US9632074,Patent_US20160015709,Patent_US20170020964,Patent_US20160144028,Patent_WO2013152313A1,Patent_WO2016182988A1,Patent_WO2016125169A1,Patent_US20140303133,Patent_WO2013075059A1,Patent_WO2012167028A2,Patent_WO2010048123A2,Patent_WO2016172226A1,Pmcoa_3656383,Patent_WO2017062426A1,Pmcoa_3135278,Pmcoa_3302113,Pmcoa_3597533,Patent_US9724393,Pmcoa_5094996,Pmcoa_5065953,Pmcoa_3672007,Pmcoa_4663284,Pmcoa_4246767,Pmcoa_5381259,Pmcoa_4598970,Pmcoa_5482604,Pmcoa_5216960,Pmcoa_5464869,Pmcoa_4324539,Pmcoa_4741867,Pmcoa_4887336,Pmcoa_5048293,Pmcoa_4177604,Pmcoa_4014081,Pmcoa_4399020,Pmcoa_4835175,Pmcoa_5226784,Pmcoa_5655304,Pmcoa_5814180,Pmcoa_5482874,Patent_WO2014123476A1,Pmcoa_3868504,Pmcoa_5356237,Pmcoa_4419619,Pmcoa_3141798,Patent_EP2400985A2,Patent_US20090092596,Patent_US20120101084,Patent_US8048621,Patent_US20120189641,Patent_WO2010099139A2,Pmcoa_5111065,Patent_US20130005733",TRUE,"Nevertheless, we have shown that OSI-906 reduces both p-IGF1R steady-state protein and IGF1R signaling (i.e. p-AKT and 4E-BP-1 hyper-phosphorylation) in the MCF7 ER-positive and HCC1806 ER-negative breast cancer cell-lines, consistent with the assumption that the therapeutic inhibition of OSI-906 is mediated at least in part via IGF1R.",,keep
ROBATUMUMAB,IGF1R,PSORIASIS,"Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1",TRUE,,"Medline_22188815,Pmcoa_3081058,Pmcoa_4303167,Medline_24905030,Medline_20124453,Pmcoa_4149550",TRUE,"Robatumumab (also known as 19D12 and SCH 717454) is a fully human anti-IGF-1R monoclonal antibody of the immunoglobulin G1 (IgG1)/kappa isotype. It binds to the extracellular portion of human IGF-1R selectively and with high affinity, and thereby prevents IGF binding and activation of transduction events, including IGF-1R autophosphorylation, insulin receptor substrate 1 phosphorylation, and activation of downstream intracellular signaling events 19",,keep
LANTUS,IGF1R,PSORIASIS,"Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1",TRUE,,"Medline_20730455,Pmcoa_3355935,Pmcoa_4219851,Pmcoa_3114335,Medline_14722023,Pmcoa_3699703,Pmcoa_3712049,Pmcoa_3581051,Medline_19153208,Pmcoa_4349771,Pmcoa_2832019,Pmcoa_4531810,Pmcoa_3960261",TRUE,"In particular, in human osteosarcoma cells (Saos-2) that express IGF-1R more than IR, insulin glargine was more potent than native insulin for stimulating growth (Kurtzhals et al., 2000; Sommerfeld et al., 2010). ",,keep
CIXUTUMUMAB,IGF1R,PSORIASIS,"Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1",TRUE,,"Patent_US20140341922,Medline_25543125,Medline_20166202,Pmcoa_4608384,Medline_17875788,Pmcoa_3344278,Pmcoa_3113372,Pmcoa_4164328,Medline_22323052,Pmcoa_4312119,Pmcoa_3938039,Pmcoa_4059749,Patent_US20120100166,Patent_WO2013007801A1",TRUE,"IMC-A12 also mediates robust internalization and degradation of the IGF1R. Although promising single-agent activity has been observed, the most impressive effects of targeting the IGF1R with IMC-A12 have been noted when this molecule was combined with cytotoxic agents or other targeted therapeutics [140]. ",,keep
FIGITUMUMAB,IGF1R,PSORIASIS,"Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1",TRUE,,"Pmcoa_2920021,Pmcoa_3306383,Medline_27488947,Pmcoa_4973270,Pmcoa_4313785,Pmcoa_3359746,Medline_26287334,Pmcoa_4545894,Patent_US20120100166,Patent_EP2850229A1,Patent_US20150072895,Patent_EP2984176A2,Patent_US20160313343,Patent_WO2013173627A1,Patent_US9840728,Patent_WO2015103645A2,Patent_WO2016004233A2,Patent_US20150376678,Pmcoa_4599304",TRUE,"Administration of docetaxel and figitumumab in combination resulted in decreased sIGF-IR levels. At doses ⩾3 mg kg–1, there was a complete downregulation of sIGF-IR levels for the entire dosing cycle (Figure 2).",,keep
DUSIGITUMAB,IGF1R,PSORIASIS,"Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1",TRUE,,"Medline_21245093,Pmcoa_3845553,Patent_EP3082859A1,Patent_US20160324962,Patent_WO2015095329A1",TRUE,"Pharmacodynamic analysis demonstrated inhibition of IGF-1R phosphorylation in tumors in mice dosed with MEDI-573, indicating that the antitumor activity is mediated via inhibition of IGF-1R signaling pathways.",,keep
H 89 DIHYDROCHLORIDE,MSX2,PSORIASIS,"Pmcoa_5715373,Patent_WO2015067503A1",FALSE,"The neuropeptide α-MSH is a well known mediator of skin pigmentation and has recently been shown to exert anti-inflammatory and immunomodulatory activities (106). Treatment with α-MSH ameliorated psoriasis-like skin inflammation, in part by suppressing the proliferation and effector function of Th17 cells.","Patent_US5622860,Patent_US6117975",-,,,new
"PHENYL, 4-HYDROXY-",NR4A1,PSORIASIS,"Medline_26932821,Pmcoa_4774191,Pmcoa_4829133",TRUE,"Nur77 expression is elevated in synovial tissue, cartilage and prostaglandin E2 (PGE2) stimulated chondrocytes from patients with rheumatoid arthritis, psoriatic arthritis or osteoarthritis, making Nur77 an attractive target in rheumatic diseases [60–63].","Pmcoa_4452731,Patent_US20160303081",TRUE,"We have recently demonstrated that selected 1,1-bis(3'-indolyl)-1-(p-substituted phenyl)methane (C-DIM) compounds including the p-hydroxyphenyl (DIM-C-pPhOH) and p-carboxymethyl (DIM-C-pPhCO2Me) analogs bind NR4A1 and act as antagonists.",,new
