"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"681","L(-)-ALPHA-METHYLALANINE","ODC1","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Medline_7115771,Medline_3420115"
"682","EFLORNITHINE","ODC1","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Pmcoa_4969736,Medline_1305473,Pmcoa_3341325,Medline_1580563,Patent_US20080260875,Pmcoa_5753667,Patent_US20130217743,Pmcoa_4547391,Medline_6240915,Patent_EP2568978A2,Patent_US7030126,Pmcoa_3593561,Patent_US20030158262,Patent_US20070048246,Patent_US20080260875A1,Patent_US7211602,Pmcoa_5718121,Patent_US07763288,Patent_US20030130357,Pmcoa_6283605,Patent_US07030126,Patent_US07211602,Patent_US20070048246A1,Patent_US20130217743A1,Patent_US7763288,Pmcoa_3954685,Medline_1600622,Patent_US07101842,Patent_US20040161428,Patent_US6949679,Pmcoa_3688985,Pmcoa_3231815,Pmcoa_5406860,Medline_11137702,Medline_2492471,Patent_US7273888,Medline_2525760,Medline_8358715,Patent_US9464087,Pmcoa_4978703,Medline_30026114,Medline_3006760,Patent_US10159634,Pmcoa_4387927,Medline_11174068,Medline_2109653,Patent_US07273888,Pmcoa_4808186,Pmcoa_3536786,Patent_US20050037090,Medline_23825660,Patent_US7101842,Pmcoa_2172794,Medline_2064355,Patent_EP2785723B1,Patent_US6646013,Medline_25248858,Patent_EP2785723A1,Pmcoa_4904962,Medline_10695713,Patent_US20030130350,Pmcoa_2695853,Pmcoa_2714034,Medline_3923382,Medline_1438532,Medline_2116224,Patent_US4413141,Patent_US20170273926A1,Patent_US20020019338,Medline_6300139,Patent_US20170273926,Pmcoa_3032052,Pmcoa_2991269"
"683","(2R)-2,5-DIAMINO-2-(DIFLUOROMETHYL)PENTANOIC ACID HYDROCHLORIDE","ODC1","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Patent_US7741310,Patent_US20100216710,Patent_EP1278537A2,Pmcoa_4511134,Medline_25961839,Patent_US20030215428,Medline_23583442,Patent_US8673594,Patent_EP1278537B1"
"684","EFLORNITHINE HYDROCHLORIDE","ODC1","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Patent_WO2011031990A1,Pmcoa_4502477"
"685","DEHSPM","ODC1","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Patent_US20020045780,Patent_US6235794,Patent_US20060094791"
"686","CADAVERINE","ODC1","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Medline_18256468,Medline_3514574,Medline_8961564,Medline_7190634"
"687","CHLORPHENAMINE","ODC1","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Medline_7647340,Medline_1299628"
"688","DIFLUOROMETHYLORNITHINE","ODC1","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Patent_US20150328198A1,Patent_US20150328198,Medline_2842342,Pmcoa_436064,Pmcoa_4551804,Medline_3131590,Pmcoa_6335389,Medline_16666271,Patent_EP2897621A2,Patent_US20130217743A1,Patent_US20140315834,Pmcoa_3593561,Pmcoa_4381588,Patent_US20140121185,Patent_US5677350,Patent_US20130217743,Medline_1880077,Medline_10782045,Patent_EP1867633A1,Medline_15857080,Medline_24531785,Pmcoa_4547391,Patent_EP2568978A2,Patent_US20140121185A1,Medline_16052528,Medline_1663805,Medline_18455248,Medline_3931927,Medline_8095973,Patent_EP3256117A1,Pmcoa_3231815,Medline_11922393,Medline_8333497,Patent_EP2640425A2,Patent_US09072766,Medline_10445853,Medline_15534104,Medline_16665402,Medline_24778323,Medline_27555600,Medline_3099048,Pmcoa_3536786,Pmcoa_5248609,Medline_1859381,Patent_US20040248908,Patent_US6861524,Medline_2535963,Medline_2558942,Patent_EP2937096A1,Medline_2088816,Medline_29215586,Medline_29661929,Medline_8408643,Medline_8552252,Medline_10766173,Medline_11097222,Medline_2492900,Patent_EP1377579B1,Patent_US20060281793,Pmcoa_5349141,Pmcoa_6031273,Medline_1371646,Medline_29872701,Patent_US07429595,Medline_10469614,Medline_15894264,Medline_2905776,Medline_6703477,Patent_US9072766,Medline_11876528,Medline_23846959,Medline_8264888,Medline_8813682,Pmcoa_4446210,Pmcoa_5859467,Medline_10497162,Medline_10952611,Medline_19003578,Medline_2504484,Medline_25818703,Medline_26018967,Medline_29897188,Medline_3084110,Medline_3121457,Patent_US7655678,Medline_1340062,Medline_23300995,Medline_24346344,Medline_3096554,Medline_9371082,Patent_US7429595,Pmcoa_6172597,Medline_11733031,Medline_12771040,Medline_2493096,Medline_30355744,Medline_3080235,Medline_3100403,Medline_8097305,Pmcoa_149232,Pmcoa_3122103,Pmcoa_3912857,Pmcoa_6105827,Medline_20450939,Medline_30262852,Medline_9331102,Patent_US07655678,Medline_11173069,Medline_1835443,Medline_29452772,Medline_8352568,Pmcoa_2589727,Pmcoa_5807879,Medline_10446971,Medline_1974604,Medline_7796931,Medline_9139705,Pmcoa_6107220,Pmcoa_6160434,Medline_2067204,Medline_3135252,Medline_7578852,Medline_15909119,Medline_15306645,Medline_3094378,Pmcoa_3499881,Medline_23181218,Pmcoa_4458265,Medline_9549231,Medline_8444085,Medline_21464038,Medline_10913016,Patent_EP1549611A2,Medline_6800359,Patent_US20070059299,Patent_US20070059299A1,Medline_9094379,Patent_US5162373,Patent_US4859452,Patent_US5189025,Patent_US10105414,Patent_US20170042969,Medline_29299930,Medline_8538189,Medline_9879934,Medline_2262070,Medline_1472637,Medline_1984779,Medline_2646950,Pmcoa_5662602,Patent_US9730902,Patent_US09730902,Medline_3091587,Pmcoa_5753656,Patent_US9926260,Patent_EP2830603A1,Patent_EP2830603B1,Medline_23697944"
"689","AZELASTINE","OLR1","ARTHRITIS","Pmcoa_5806501,Pmcoa_4700773,Medline_29569871","Pmcoa_3206208,Patent_EP1893775A2,Patent_EP1893775B1,Patent_US20090298918A1,Pmcoa_4717858,Patent_US20090298918"
"690","METHYLNALTREXONE BROMIDE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_28092666,Medline_24871705"
"691","DIPRENORPHINE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Patent_US20170183404,Patent_US20180153953A1,Patent_US20180153953,Patent_US20170183404A1,Patent_US20030068672,Patent_US6103492,Patent_US6235496,Patent_US07097988,Pmcoa_4450370"
"692","MEROPENEM","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_5626926,Pmcoa_4519154"
"693","LEVALLORPHAN","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_3189208,Patent_US20180153953,Patent_US20180153953A1"
"694","LY2456302","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_4368892,Patent_US20180153953,Patent_US20180153953A1"
"695","ALFENTANIL","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_15329600,Patent_US20050255151,Patent_US6300332,Patent_US20020111359,Patent_EP1003373B1,Patent_US5985880,Patent_US6919350,Patent_US20080193383A1"
"696","ALVIMOPAN","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_16699267,Medline_19750041,Medline_16597533,Pmcoa_3326971,Patent_US8980908,Medline_17382220,Medline_16797494,Medline_26423597,Pmcoa_4585395,Medline_16836950,Medline_25440479,Medline_21572777,Medline_23066346,Medline_16076918,Medline_19086236,Medline_22643504,Medline_22196657,Medline_16333556,Medline_17940638,Medline_21382586,Medline_19574601,Medline_17950339"
"697","OHMEFENTANYL","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_7696628,Medline_2173349,Medline_1647320"
"698","DEZOCINE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_28230181,Pmcoa_5322378"
"699","METHYL ACETIC ACID","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_27770652,Patent_WO2016197237A1,Patent_US20060252959,Patent_US20060287551"
"700","[Br-].C[N@@+]1(CC2CC2)CC[C@@]23C4Oc5c2c(C[C@@H]1[C@]3(O)CCC4=O)ccc5O","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_28092666,Medline_24871705,Pmcoa_5296291"
"701","GSK-1521498","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_3835938,Medline_22752384,Medline_23934621,Pmcoa_4282435,Pmcoa_4537503"
"702","METHYLNALTREXONE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_19217656,Patent_US20060205753,Patent_EP1845989A1,Medline_29374616,Patent_US20060205753A1,Patent_US20120136019,Pmcoa_4067746,Patent_EP1928882A2,Patent_EP2450360A2,Patent_US7563899,Medline_19713070,Patent_US9675602,Medline_18694369,Medline_21992933,Pmcoa_6210068,Medline_18509120,Medline_20839388,Patent_US20170258909A1,Medline_16820176,Medline_21198709,Patent_US8003794,Patent_US08916581,Clinicaltrial_NCT03601351,Patent_US9717725,Pmcoa_3270445,Patent_US20180153953A1,Patent_US8916581,Medline_20173089,Patent_EP1928882B1,Pmcoa_3963855,Patent_US20180008594A1,Pmcoa_2736972,Medline_23746197,Patent_EP1861096A2,Medline_19698111,Medline_26839023,Patent_US20100105911,Patent_US20180153953,Patent_US20160367622,Patent_US20160367622A1,Pmcoa_5774104"
"703","NALOXEGOL","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_26660436,Medline_26450143,Pmcoa_5533475"
"704","PAROMOMYCIN","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_6173428,Medline_30289929"
"705","ELUXADOLINE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_4856111,Medline_26690872,Medline_27331917"
"706","ETORPHINE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_9450614,Patent_US20040024005,Patent_EP1476155A2,Medline_2847851,Medline_15363980,Medline_16417975,Pmcoa_4270172,Medline_27707973,Medline_8799185,Medline_9350996,Medline_2986029,Medline_8780231,Medline_18930741,Medline_29183835"
"707","NALMEFENE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_3202505,Medline_11413242,Medline_25241065"
"708","CARFENTANIL","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_5754389,Medline_18762918,Medline_1965452,Pmcoa_4640219"
"709","TAPENTADOL","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Pmcoa_5680940,Medline_24488603,Medline_29029015,Medline_21262850"
"710","SAMIDORPHAN","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_30108159,Pmcoa_6063454,Pmcoa_6356006,Patent_US9283196,Pmcoa_5793841"
"711","SUFENTANIL","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Patent_EP1476155A2,Patent_US20040024005,Medline_15780604,Patent_US09642996,Patent_US8778394,Patent_US20180161270A1,Patent_US20130090594,Patent_US20170259051,Patent_US8231900,Patent_EP2114383B1,Patent_EP3072504A1,Patent_US9642996,Patent_US08535714,Patent_US20100137836A1,Patent_US9744129,Patent_US20140350054A1,Patent_US20130090594A1,Patent_US20090131479A1,Patent_US20100137836,Patent_US20170259051A1,Patent_US20120035216,Patent_US8535714,Medline_12044452,Medline_11299311,Medline_10497906,Medline_10781014"
"712","TIANEPTINE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Medline_29073492,Patent_WO2017165738A1"
"713","ETONITAZENE","OPRM1","ARTHRITIS","Medline_27857662,Pmcoa_5109000","Patent_EP1476155A2,Patent_US20040024005,Patent_WO2003061594A2,Medline_9489935"
"714","POLYARGININE","ORAI1","ARTHRITIS","Patent_EP3178931A1,Patent_US20170226203,Medline_28258822","Medline_21750194,Pmcoa_3346949"
"715","ISOQUINOLINE 3","PDC","PSORIASIS","Patent_EP2286835A1,Patent_US20090155286,Pmcoa_2212894,Medline_15998792","Pmcoa_4408850,Pmcoa_4879168"
"716","SACITUZUMAB GOVITECAN","PDC","PSORIASIS","Patent_EP2286835A1,Patent_US20090155286,Pmcoa_2212894,Medline_15998792","Patent_US20140377287,Patent_US20170281791,Patent_US9770517"
"717","ROXADUSTAT","PDC","PSORIASIS","Patent_EP2286835A1,Patent_US20090155286,Pmcoa_2212894,Medline_15998792","Pmcoa_5359007,Pmcoa_5097156,Patent_WO2017027810A2,Pmcoa_5374523,Pmcoa_5201116"
"718","MILRINONE","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Patent_US08084221,Patent_US20120083443A1,Patent_US20070249668,Medline_12652111,Patent_US20120083443,Medline_9432022,Pmcoa_5837217,Patent_US20150080451A1,Patent_US9371307,Patent_US20130029989A1,Patent_US20130029989,Patent_US20160000750,Patent_US20160000750A1,Patent_EP2586441A1"
"719","ZARDAVERINE","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Medline_11044563,Medline_24598942,Pmcoa_3869376,Patent_EP3102206A1,Patent_US20150224089,Pmcoa_3944092,Medline_22891752,Patent_WO2015119624A1"
"720","ROFLUMILASTUM","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Patent_US6498173,Patent_EP1176960B1,Patent_WO2015132708A1,Patent_US20030050329,Patent_EP1429807B1,Patent_EP1176960A1,Patent_WO2000066123A1,Patent_EP1429807A2,Medline_19386793"
"721","IBUDILAST","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Pmcoa_2699952,Medline_16674936,Patent_US20090197823,Patent_US20090197823A1,Medline_20124930"
"722","HT-0712","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Pmcoa_4523784,Patent_EP2313098A1,Medline_24964813,Medline_28772081"
"723","TOFIMILAST","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Patent_US20040167153,Medline_17228876,Patent_US20030119862,Patent_WO2003047578A1"
"724","SB 207499","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Patent_US20030187056,Patent_EP1276897A2,Medline_16829147,Medline_16107932,Patent_EP2046787A1,Patent_EP2046787B1,Patent_US20090318494A1,Patent_US08003663"
"725","(R)-(-)-ROLIPRAM","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Patent_US20110020843A1,Patent_EP2456883A1,Medline_22677471,Patent_US20110020843,Medline_22191614,Medline_9630352"
"726","TETOMILAST","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Medline_17714033,Pmcoa_3616808"
"727","CHEMBL3113974","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Medline_26945156,Medline_28768120,Clinicaltrial_NCT01689571,Medline_24865624,Pmcoa_4521666,Medline_25733029,Medline_29307855,Pmcoa_5735647,Medline_28596292,Medline_25576075"
"728","PICLAMILAST","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Medline_15339393,Patent_US20090239884A1,Patent_US20090239884,Patent_EP1301796A2,Pmcoa_4139869,Medline_10640302,Patent_EP1874775B1,Patent_US20060079540,Patent_US20060079540A1,Patent_US20080312225A1,Patent_US20100286140,Patent_US7671050,Medline_20082309,Patent_US20110136803A1,Medline_9515552,Patent_US20030187056,Medline_17659276,Patent_EP1874775A2,Pmcoa_2836961,Medline_15765929,Medline_22023548,Patent_US20060106037A1,Patent_US20040018504,Patent_US7282347,Patent_EP1276897A2,Patent_EP1791543B1,Patent_EP1836207B1,Patent_US07851472,Patent_US20060106037,Patent_US7851472,Pmcoa_2881047,Patent_EP1791543A2,Patent_EP1836207A2,Medline_15962112,Pmcoa_4461257,Patent_US8106047,Patent_EP1551805B1,Patent_US6458829,Medline_9559913,Patent_US6770658,Medline_11834608,Patent_US20030186943,Patent_EP1551805A1"
"729","MESOPRAM","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Patent_US20100087436,Patent_WO2008064116A2,Patent_US20160101109,Patent_WO2017213695A1,Pmcoa_3585290,Patent_US20100056604,Patent_US20090176785,Patent_EP2231159A1,Patent_US20080182845,Patent_US20160175316,Patent_WO2009064938A1"
"730","MK-0873","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Medline_18835163,Medline_18321743,Medline_25691117"
"731","DALIRESP","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Patent_EP2838909A2,Patent_EP3131586A1,Patent_WO2015134464A2,Patent_WO2015038649A1,Patent_EP3035938A1,Patent_WO2015143004A1,Patent_WO2013158644A2,Patent_US20140213560,Medline_26338438,Patent_US9649302,Patent_US20170196843"
"732","AMRINONE","PDE4A","PSORIASIS","Medline_29387588,Pmcoa_5683107,Patent_US20160045475,Patent_US20110318741,Pmcoa_5854648,Patent_WO2016025686A1,Medline_21859393,Pmcoa_5698795,Medline_26806620","Patent_EP2804625A1,Medline_11969359,Patent_US20140377240,Patent_WO2013109759A1"
"733","ISOSORBIDE MONONITRATE","PDGFB","SYSTEMIC LUPUS ERYTHEMATOSUS","Pmcoa_5372299,Medline_28356164","Patent_US6669953,Patent_EP0994701A1,Patent_EP0994701B1"
"734","TOVETUMAB","PDGFRA","SCLERODERMA","Medline_25808833,Pmcoa_3446529,Pmcoa_3618422","Medline_26223436,Pmcoa_4209236,Pmcoa_3749129"
"735","BECAPLERMIN","PDGFRB","SCLERODERMA","Pmcoa_4057313,Medline_19180499","Patent_EP2076266A2,Patent_US20100204058,Medline_11401517"
"736","XL999","PDGFRB","SCLERODERMA","Pmcoa_4057313,Medline_19180499","Pmcoa_2712676,Patent_WO2013152252A1"
"737","QS-21","PDLIM4","ARTHRITIS","Medline_20139274,Medline_15147345,Medline_20581146,Pmcoa_3798782,Pmcoa_5560174","Patent_US7374751,Patent_EP1305044A2,Patent_US07374751,Medline_11192297"
"738","DEPOFEMIN","PECAM1","CHRONIC ULCERATIVE COLITIS","Medline_10935652,Pmcoa_2997091","Medline_23056467,Pmcoa_3466210"
"739","PIMONIDAZOLE","PECAM1","CHRONIC ULCERATIVE COLITIS","Medline_10935652,Pmcoa_2997091","Pmcoa_2375178,Pmcoa_5344294"
"740","AS605240","PIK3CG","ARTHRITIS","Medline_19734303,Patent_US20130267521,Patent_US20150111874,Patent_US20150105385,Patent_US20150225410,Patent_US9359365,Patent_US20170369511,Patent_US20170088553,Patent_US20160207940,Patent_US9751888,Patent_US9255108,Patent_US20160222016,Patent_US8940742,Patent_US9828377,Patent_WO2016054491A1,Patent_WO2017214269A1,Medline_16127437,Patent_EP2015752B1,Patent_EP2004654B1,Patent_US20130225629","Pmcoa_3725284,Patent_US9512114,Patent_US9518046,Medline_18025236,Medline_19950590,Medline_20056919,Medline_19907415,Patent_US20160318914,Pmcoa_5777124,Medline_19494508,Pmcoa_2731529,Medline_21866628,Patent_US20160318913,Medline_22534961,Pmcoa_3425729,Patent_US9314485,Patent_US20100034786,Patent_EP2094837B1,Patent_US20150147304,Pmcoa_5220268"
"741","DUVELISIB","PIK3CG","ARTHRITIS","Medline_19734303,Patent_US20130267521,Patent_US20150111874,Patent_US20150105385,Patent_US20150225410,Patent_US9359365,Patent_US20170369511,Patent_US20170088553,Patent_US20160207940,Patent_US9751888,Patent_US9255108,Patent_US20160222016,Patent_US8940742,Patent_US9828377,Patent_WO2016054491A1,Patent_WO2017214269A1,Medline_16127437,Patent_EP2015752B1,Patent_EP2004654B1,Patent_US20130225629","Medline_25258342,Pmcoa_4459446,Pmcoa_4197894"
"742","1-NAPHTHYLACETIC ACID","PIN1","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_US20140219957,Patent_US9439884,Patent_US20170202799,Patent_WO2016011268A1,Medline_27159270","Pmcoa_4895256,Pmcoa_3667747,Pmcoa_4635988"
"743","VAREPLADIB","PLA2G10","ARTHRITIS","Pmcoa_3058614,Patent_WO2010009403A2,Pmcoa_416452","Pmcoa_3767354,Medline_10027849,Pmcoa_5037474,Medline_21602519,Pmcoa_3469496,Pmcoa_3826105,Medline_23071714,Pmcoa_4121404,Medline_23590147,Patent_US07579433,Medline_23916927,Pmcoa_4512224,Pmcoa_4612087,Pmcoa_2787297,Pmcoa_4287928,Pmcoa_5120429,Patent_US20070037253,Medline_23349189,Pmcoa_416452,Pmcoa_5556053,Pmcoa_6091453,Pmcoa_6265968,Pmcoa_6302344,Medline_24247616,Medline_30453607,Pmcoa_2879362,Pmcoa_5727668,Patent_US7579433,Pmcoa_4579961,Patent_US07176281,Pmcoa_5667767,Medline_19029066,Pmcoa_3954928,Pmcoa_5512213,Pmcoa_6034453,Medline_21446779"
"744","RILAPLADIB","PLA2G7","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_1424155,Medline_2354868,Pmcoa_2834121","Pmcoa_5299597,Patent_WO2016012916A1,Pmcoa_5209404,Patent_WO2016012917A1,Patent_US20150094331,Patent_US9512104,Patent_US8575348,Medline_23973698,Pmcoa_3903475,Patent_US20110136861,Patent_US20160376255,Pmcoa_4345873"
"745","(R)-(METHYL [(5E,8E,11E,14E)-ICOSA-5,8,11,14-TETRAEN-1-YL]PHOSPHONOFLUORIDATE)","PLA2G7","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_1424155,Medline_2354868,Pmcoa_2834121","Medline_24671173,Pmcoa_3966846"
"746","UPAMOSTAT","PLAU","ARTHRITIS","Patent_US5444153,Patent_WO1991009124A1,Patent_US20030096733,Patent_WO2003033009A2,Pmcoa_154426,Medline_12716448,Pmcoa_4516528,Pmcoa_2991036,Pmcoa_2888184","Pmcoa_3590684,Medline_23412098"
"747","WX-UK1","PLAU","ARTHRITIS","Patent_US5444153,Patent_WO1991009124A1,Patent_US20030096733,Patent_WO2003033009A2,Pmcoa_154426,Medline_12716448,Pmcoa_4516528,Pmcoa_2991036,Pmcoa_2888184","Pmcoa_3590684,Pmcoa_2360002,Pmcoa_3857040,Pmcoa_4435644,Medline_15841327"
"748","MELARSOPROL","PML","PSORIASIS","Pmcoa_5365096,Pmcoa_3972027","Patent_US20030211171,Patent_EP2255800B1,Patent_US20040146581,Patent_EP1964557B1,Patent_WO1999024029A1,Patent_EP1964557A1,Patent_US20040146579,Patent_US20020013371,Patent_EP1037625A1,Patent_EP2255800A1,Patent_US20030099719,Medline_9716575,Patent_US20040146570,Patent_US20040146582,Patent_US7879364,Patent_US20040146571,Patent_US20040146583,Patent_US20040146568,Patent_US20040146569,Patent_US20040146574,Patent_US6855339,Patent_US6982096,Patent_US20040146576,Patent_US20060029681,Patent_US20110091573,Patent_US20040146572,Patent_US20040151782,Patent_US20040146573,Patent_US20040146577,Patent_US6884439,Patent_US6861076"
"749","ALEGLITAZAR","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Pmcoa_3816132,Pmcoa_3996310,Pmcoa_3504387"
"750","(1R,4R)-4-(1-AMINOETHYL)-N-(PYRIDIN-4-YL)CYCLOHEXANE-1-CARBOXAMIDE","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Pmcoa_5063426,Medline_27694793"
"751","SAROGLITAZAR","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Pmcoa_4680114,Pmcoa_6001453"
"752","L165041","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Patent_EP1976509B1,Patent_EP2363127A1,Patent_US20110178112,Patent_US20140288110"
"753","SHENG MIN","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Patent_US6787651,Patent_US20040167178,Patent_US6756360,Medline_11159886,Patent_US6004751,Patent_WO1998008089A1,Patent_EP1244642A1,Patent_EP1392674B1,Patent_WO2004000762A2,Patent_US20040072838,Patent_US20060089394,Patent_EP1392674A1,Patent_EP1244642B1,Patent_EP1355890A1,Patent_US20040132787,Patent_US20040157890,Patent_EP1513795A2,Patent_US20040176427,Patent_US6867225,Patent_US20060074111,Patent_US6723740,Patent_US6518290,Patent_US7091237,Patent_US7199239,Patent_US7141591,Patent_WO2002046174A1,Patent_WO2002092590A1,Patent_WO2004000315A1,Patent_US6710063,Patent_US20050124675,Patent_US7449478,Patent_WO2005056522A2"
